Namespace,Incident ID,Published,Risk Domain,Risk Subdomain,Entity,Timing,Intent
MIT,28,True,4. Malicious Actors & Misuse,"4.3. Fraud, scams, and targeted manipulation",AI,Post-deployment,Intentional
MIT,29,True,"7. AI system safety, failures, and limitations",7.1. AI pursuing its own goals in conflict with human goals or values,AI,Pre-deployment,Unintentional
MIT,30,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,31,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,Human,Pre-deployment,Unintentional
MIT,32,True,2. Privacy & Security,2.2. AI system security vulnerabilities and attacks,AI,Post-deployment,Unintentional
MIT,33,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,34,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,35,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,36,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,37,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,38,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,39,True,3. Misinformation,3.1. False or misleading information,AI,Post-deployment,Intentional
MIT,40,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,41,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,Human,Post-deployment,Intentional
MIT,42,True,6. Socioeconomic & Environmental Harms,6.4. Competitive dynamics,Other,Other,Other
MIT,43,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,44,True,2. Privacy & Security,"2.1. Compromise of privacy by obtaining, leaking or correctly inferring sensitive information",AI,Post-deployment,Unintentional
MIT,45,True,3. Misinformation,3.1. False or misleading information,AI,Post-deployment,Unintentional
MIT,46,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,47,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,48,True,1. Discrimination and Toxicity,1.3. Unequal performance across groups,AI,Post-deployment,Unintentional
MIT,49,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,50,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,51,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,52,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,53,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,54,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,55,True,1. Discrimination and Toxicity,1.2. Exposure to toxic content,AI,Post-deployment,Unintentional
MIT,56,True,1. Discrimination and Toxicity,1.2. Exposure to toxic content,AI,Post-deployment,Unintentional
MIT,57,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,58,True,1. Discrimination and Toxicity,1.2. Exposure to toxic content,AI,Post-deployment,Unintentional
MIT,59,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,60,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,61,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,62,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,Other,Other,Other
MIT,63,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,64,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,65,True,"7. AI system safety, failures, and limitations",7.1. AI pursuing its own goals in conflict with human goals or values,AI,Post-deployment,Unintentional
MIT,66,True,3. Misinformation,3.1. False or misleading information,AI,Post-deployment,Unintentional
MIT,67,True,5. Human-Computer Interaction,5.1. Overreliance and unsafe use,Human,Post-deployment,Unintentional
MIT,68,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,69,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,70,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,71,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,72,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,73,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,74,True,1. Discrimination and Toxicity,1.3. Unequal performance across groups,AI,Post-deployment,Unintentional
MIT,75,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,76,True,2. Privacy & Security,"2.1. Compromise of privacy by obtaining, leaking or correctly inferring sensitive information",AI,Post-deployment,Intentional
MIT,77,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,78,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,79,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,80,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,81,True,1. Discrimination and Toxicity,1.3. Unequal performance across groups,AI,Pre-deployment,Unintentional
MIT,82,True,3. Misinformation,3.1. False or misleading information,AI,Post-deployment,Unintentional
MIT,83,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,84,True,3. Misinformation,3.1. False or misleading information,AI,Post-deployment,Unintentional
MIT,85,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,Other,Other,Other
MIT,86,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,87,True,1. Discrimination and Toxicity,1.3. Unequal performance across groups,AI,Post-deployment,Unintentional
MIT,88,True,1. Discrimination and Toxicity,1.2. Exposure to toxic content,Human,Post-deployment,Intentional
MIT,89,True,1. Discrimination and Toxicity,1.2. Exposure to toxic content,AI,Post-deployment,Unintentional
MIT,91,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,92,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,93,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,94,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,95,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Intentional
MIT,96,True,"7. AI system safety, failures, and limitations",7.4. Lack of transparency or interpretability,AI,Post-deployment,Intentional
MIT,97,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,98,True,5. Human-Computer Interaction,5.1. Overreliance and unsafe use,Human,Post-deployment,Unintentional
MIT,99,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Intentional
MIT,100,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,101,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,102,True,1. Discrimination and Toxicity,1.3. Unequal performance across groups,AI,Post-deployment,Unintentional
MIT,103,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,104,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,105,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,106,True,1. Discrimination and Toxicity,1.2. Exposure to toxic content,AI,Post-deployment,Unintentional
MIT,107,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Intentional
MIT,108,True,1. Discrimination and Toxicity,1.3. Unequal performance across groups,AI,Post-deployment,Unintentional
MIT,109,True,2. Privacy & Security,"2.1. Compromise of privacy by obtaining, leaking or correctly inferring sensitive information",AI,Post-deployment,Unintentional
MIT,110,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,111,True,6. Socioeconomic & Environmental Harms,6.2. Increased inequality and decline in employment quality,AI,Post-deployment,Intentional
MIT,112,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,113,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,114,True,1. Discrimination and Toxicity,1.3. Unequal performance across groups,AI,Post-deployment,Unintentional
MIT,115,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,116,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,117,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,118,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,119,True,2. Privacy & Security,"2.1. Compromise of privacy by obtaining, leaking or correctly inferring sensitive information",AI,Post-deployment,Intentional
MIT,120,True,3. Misinformation,3.1. False or misleading information,AI,Post-deployment,Unintentional
MIT,121,True,4. Malicious Actors & Misuse,"4.2. Cyberattacks, weapon development or use, and mass harm",AI,Post-deployment,Intentional
MIT,122,True,2. Privacy & Security,"2.1. Compromise of privacy by obtaining, leaking or correctly inferring sensitive information",Human,Post-deployment,Unintentional
MIT,123,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,124,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,125,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,126,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,127,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,128,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,129,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,131,True,1. Discrimination and Toxicity,1.3. Unequal performance across groups,AI,Post-deployment,Unintentional
MIT,132,True,1. Discrimination and Toxicity,1.2. Exposure to toxic content,AI,Post-deployment,Unintentional
MIT,133,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,134,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,135,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,136,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,137,True,"7. AI system safety, failures, and limitations",7.4. Lack of transparency or interpretability,AI,Post-deployment,Unintentional
MIT,138,True,1. Discrimination and Toxicity,1.3. Unequal performance across groups,AI,Post-deployment,Unintentional
MIT,139,True,3. Misinformation,3.1. False or misleading information,AI,Post-deployment,Unintentional
MIT,140,True,1. Discrimination and Toxicity,1.3. Unequal performance across groups,AI,Post-deployment,Unintentional
MIT,141,True,5. Human-Computer Interaction,5.2. Loss of human agency and autonomy,Human,Post-deployment,Intentional
MIT,142,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,143,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,144,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,145,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,146,True,1. Discrimination and Toxicity,1.2. Exposure to toxic content,AI,Post-deployment,Unintentional
MIT,147,True,4. Malicious Actors & Misuse,"4.3. Fraud, scams, and targeted manipulation",Human,Post-deployment,Intentional
MIT,148,True,4. Malicious Actors & Misuse,"4.3. Fraud, scams, and targeted manipulation",Human,Post-deployment,Intentional
MIT,149,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,150,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,151,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,152,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,153,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,154,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,155,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,156,True,5. Human-Computer Interaction,5.1. Overreliance and unsafe use,AI,Post-deployment,Unintentional
MIT,157,True,5. Human-Computer Interaction,5.1. Overreliance and unsafe use,AI,Post-deployment,Unintentional
MIT,158,True,1. Discrimination and Toxicity,1.3. Unequal performance across groups,AI,Post-deployment,Unintentional
MIT,159,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,Other,Other,Other
MIT,160,True,1. Discrimination and Toxicity,1.2. Exposure to toxic content,AI,Post-deployment,Unintentional
MIT,161,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,162,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,163,True,1. Discrimination and Toxicity,1.3. Unequal performance across groups,AI,Post-deployment,Unintentional
MIT,164,True,1. Discrimination and Toxicity,1.2. Exposure to toxic content,AI,Post-deployment,Unintentional
MIT,165,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,166,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Intentional
MIT,167,True,2. Privacy & Security,"2.1. Compromise of privacy by obtaining, leaking or correctly inferring sensitive information",Human,Post-deployment,Intentional
MIT,168,True,1. Discrimination and Toxicity,1.3. Unequal performance across groups,AI,Post-deployment,Unintentional
MIT,169,True,1. Discrimination and Toxicity,1.2. Exposure to toxic content,AI,Post-deployment,Unintentional
MIT,170,True,2. Privacy & Security,"2.1. Compromise of privacy by obtaining, leaking or correctly inferring sensitive information",AI,Post-deployment,Intentional
MIT,171,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,172,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,173,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,Human,Post-deployment,Unintentional
MIT,174,True,4. Malicious Actors & Misuse,"4.3. Fraud, scams, and targeted manipulation",Human,Post-deployment,Intentional
MIT,175,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,176,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,177,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Intentional
MIT,178,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,179,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,180,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Intentional
MIT,181,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,Human,Post-deployment,Unintentional
MIT,182,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,Human,Post-deployment,Unintentional
MIT,183,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Intentional
MIT,184,True,2. Privacy & Security,"2.1. Compromise of privacy by obtaining, leaking or correctly inferring sensitive information",Human,Post-deployment,Intentional
MIT,185,True,3. Misinformation,3.1. False or misleading information,AI,Post-deployment,Unintentional
MIT,186,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,187,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,Human,Post-deployment,Intentional
MIT,188,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Intentional
MIT,189,True,1. Discrimination and Toxicity,1.3. Unequal performance across groups,AI,Post-deployment,Intentional
MIT,190,True,2. Privacy & Security,"2.1. Compromise of privacy by obtaining, leaking or correctly inferring sensitive information",Human,Post-deployment,Intentional
MIT,191,True,6. Socioeconomic & Environmental Harms,6.4. Competitive dynamics,Human,Post-deployment,Intentional
MIT,192,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Intentional
MIT,193,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,194,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,195,True,"7. AI system safety, failures, and limitations",7.1. AI pursuing its own goals in conflict with human goals or values,AI,Post-deployment,Intentional
MIT,196,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,197,True,3. Misinformation,3.1. False or misleading information,AI,Post-deployment,Unintentional
MIT,198,True,4. Malicious Actors & Misuse,"4.1. Disinformation, surveillance, and influence at scale",AI,Post-deployment,Intentional
MIT,199,True,2. Privacy & Security,"2.1. Compromise of privacy by obtaining, leaking or correctly inferring sensitive information",Human,Post-deployment,Intentional
MIT,200,True,4. Malicious Actors & Misuse,"4.3. Fraud, scams, and targeted manipulation",Human,Post-deployment,Intentional
MIT,201,True,4. Malicious Actors & Misuse,"4.1. Disinformation, surveillance, and influence at scale",Human,Post-deployment,Intentional
MIT,202,True,3. Misinformation,3.2. Pollution of information ecosystem and loss of consensus reality,Human,Post-deployment,Intentional
MIT,203,True,"7. AI system safety, failures, and limitations",7.4. Lack of transparency or interpretability,AI,Post-deployment,Intentional
MIT,204,True,2. Privacy & Security,"2.1. Compromise of privacy by obtaining, leaking or correctly inferring sensitive information",AI,Post-deployment,Intentional
MIT,205,True,4. Malicious Actors & Misuse,"4.1. Disinformation, surveillance, and influence at scale",Human,Post-deployment,Intentional
MIT,206,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Intentional
MIT,207,True,5. Human-Computer Interaction,5.2. Loss of human agency and autonomy,Human,Post-deployment,Intentional
MIT,208,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,209,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Intentional
MIT,210,True,4. Malicious Actors & Misuse,"4.1. Disinformation, surveillance, and influence at scale",Human,Post-deployment,Intentional
MIT,211,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,212,True,2. Privacy & Security,"2.1. Compromise of privacy by obtaining, leaking or correctly inferring sensitive information",AI,Post-deployment,Unintentional
MIT,213,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,214,True,1. Discrimination and Toxicity,1.3. Unequal performance across groups,AI,Post-deployment,Unintentional
MIT,215,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,216,True,1. Discrimination and Toxicity,1.2. Exposure to toxic content,AI,Post-deployment,Unintentional
MIT,217,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,Human,Post-deployment,Unintentional
MIT,218,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,219,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,220,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,221,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,222,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,223,True,2. Privacy & Security,2.2. AI system security vulnerabilities and attacks,AI,Post-deployment,Unintentional
MIT,224,True,4. Malicious Actors & Misuse,"4.3. Fraud, scams, and targeted manipulation",Human,Post-deployment,Intentional
MIT,225,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,226,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,227,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,228,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,229,True,1. Discrimination and Toxicity,1.2. Exposure to toxic content,AI,Post-deployment,Unintentional
MIT,230,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,231,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,232,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,233,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,234,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,235,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Intentional
MIT,236,True,4. Malicious Actors & Misuse,"4.3. Fraud, scams, and targeted manipulation",AI,Post-deployment,Intentional
MIT,238,True,1. Discrimination and Toxicity,1.1. Unfair discrimination and misrepresentation,AI,Post-deployment,Unintentional
MIT,239,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,240,True,2. Privacy & Security,"2.1. Compromise of privacy by obtaining, leaking or correctly inferring sensitive information",AI,Post-deployment,Unintentional
MIT,241,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,242,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,243,True,4. Malicious Actors & Misuse,"4.1. Disinformation, surveillance, and influence at scale",AI,Post-deployment,Intentional
MIT,244,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,245,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,246,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,248,True,"7. AI system safety, failures, and limitations",7.3. Lack of capability or robustness,AI,Post-deployment,Unintentional
MIT,249,True,4. Malicious Actors & Misuse,"4.1. Disinformation, surveillance, and influence at scale",AI,Post-deployment,Intentional
MIT,250,True,"7. AI system safety, failures, and limitations",7.4. Lack of transparency or interpretability,Human,Post-deployment,Unintentional
MIT,251,True,6. Socioeconomic & Environmental Harms,6.1. Power centralization and unfair distribution of benefits,AI,Post-deployment,Intentional
